id,title,code,in_id,institution,in_country,in_state,in_city,in_latitute,in_longitude,in_description,description,learning_outcomes,topic_outline,year
4904852663176,Film Appreciation,COMM 2366,20005,South Plains College,United States,Texas,Levelland,33.5762825012207,-102.36762237548828,"South Plains College (SPC) is a public community college in Levelland, Texas.  It also has five locations in Plainview, at the Reese Technology Center, formerly Reese Air Force Base, in western Lubbock, and the Lubbock Downtown Center and the Career and Technical Center.  
SPC has offers many classes virtually.","Survey and analysis of cinema, including history, film techniques, production procedures, selected motion pictures, and Cinema’s impact on and reflection of society.","['Communications skills—to include effective written, oral and visual communication', 'Critical thinking skills—to include creative thinking, innovation, inquiry, and analysis, evaluation and synthesis of information', 'Personal Responsibility—to include the ability to connect choices, actions, and consequences to ethical decision-making.', 'Social Responsibility—to include the demonstrated knowledge and competence, knowledge of civic responsibility, and the ability to engage effectively in regional, national, and global communities', 'Analyze film through written response.', 'Demonstrate a basic knowledge of film history, form, and genre.', 'Describe the collaborative nature of cinema and the many jobs required to develop a motion picture.', 'Discuss/Describe the relationship of cinema to society as it relates to his/her perspective.']",,2022
661424964946,Quality Improvement Tools,PROD1252,1963,Niagara College,Canada,Ontario,Niagara Falls,43.07948303222656,-79.09053039550781,"The Niagara College of Applied Arts and Technology (frequently shortened to Niagara College and branded as Niagara College Canada) is a public College of Applied Arts and Technology within the Niagara Region and the city of Toronto in Southern Ontario, Canada.The college has four campuses: the Welland Campus in Welland, the Niagara-on-the-Lake Campus in Niagara-on-the-Lake, the Toronto School of Management Partnership Campus in Toronto and the Taif Campus in Ta'if, Saudi Arabia. Their Maid of the Mist Campus in Niagara Falls closed in 2018.The college has 12,500 full-time students, including about 4,000 international students from a variety of countries. It offers approximately 100 post-secondary diploma, baccalaureate degrees and advanced level programs. Niagara College employs 291 faculty, 89 administration staff and 224 support staff and has graduated more than 50,000 students.",You will be provided with a practical understanding of Quality Improvement Tools and their applications in industry. This will include a practical introduction to data techniques and statistical process control (SPC) as useful tools for maintaining and improving manufacturing quality. You will also develop an understanding of the economic and strategic importance of quality in the manufacturing.,"['Employ statistics to solve problems.', 'Use statistical terms.', 'Identify types of data.', 'Identify the measurement level of variables.', 'Identify the four main sampling techniques.', 'Draw a scatter plot for a set of ordered pairs.', 'Calculate and interpret the correlation coefficient.', 'Calculate the equation of the least squares regression line.', 'Use the regression equation to predict values of the dependent variable.', 'Interpret the concept of ""Quality"" as it applies to various industries.', 'Define Quality.', 'Explain the need and goals of SPC.', 'Contrast the difference between prevention versus detection of defects.', 'Explain the basic tools for SPC.', 'Explain how quality has evolved over the last century.', 'Express Management’s problems with quality improvement.', 'Generalize various Management approaches to promote quality improvement.', 'Identify the “Cost of Quality”.', 'Apply statistical methods to data analysis.', 'Interpret measurement concepts and variation.', 'Analyze a distribution using statistical techniques.', 'Use various quality improvement tools to organize data.', 'Use various quality improvement tools to represent and quantify data.', 'Use various quality improvement tools to diagram and solve quality problems.', 'Analyze normal probability distribution and the central limit theorem.', 'Solve problems using the concepts of normal probability distribution.', 'Demonstrate the use and application of variable control charts.', 'Contrast the difference between variables and attributes.', 'Discover the preparatory issues with implementing control charts.', 'Develop control charts for variables.', 'Identify control chart patterns and deal with out-of-control situations.', 'Calculate the process capability for control chart variable data.', 'Document other variations of the standard variable control chart.', 'Demonstrate the use and application of attribute control charts.', 'Develop and create control charts for attributes.', 'Identify control chart patterns and deal with out-of-control situations.', 'Calculate the process capability for control chart attribute data.', 'Explain the difference between the four chart types and their uses.', 'Identify several out-of-control situations for control charts.', 'Describe several remedies for these out-of-control situations.', 'Develop and create control charts for attributes.', 'Identify control chart patterns and deal with out-of-control situations.', 'Calculate the process capability for control chart attribute data.', 'Investigate Gauge Capability', 'Calculate gauge capability.', 'Demonstrate and evaluate a gauge repeatability and reproducibility study.', 'Assess the effect of repeatability and reproducibility, and stability on gauge readings.', 'Communicate clearly, concisely and correctly in the written, spoken, and visual form that fulfills the purpose and meets the needs of the audience.', 'Respond to written, spoken, or visual messages in a manner that ensures effective communication.', 'Execute mathematical operations accurately.', 'Apply a systematic approach to solve problems.', 'Use a variety of thinking skills to anticipate and solve problems.', 'Locate, select, organize, and document information using appropriate technology and information systems.', 'Analyze, evaluate, and apply relevant information from a variety of sources.', 'Interact with others in groups or teams in ways that contribute to effective working relationships and the achievement of goals.', 'Manage the use of time and other resources to complete projects.', 'Take responsibility for one’s own actions, decisions, and consequences.']",,2022
6004364299427,"Data Privacy, Security, and Ethics",CSIS-2700,18664,Webster University,United States,Missouri,Webster Groves,38.59254837036133,-90.35733795166016,"Webster University is a private university with its main campus in Webster Groves, Missouri. It has multiple branch locations across the United States and countries across Europe, Asia, and Africa. In 2021, Webster enrolled 6,741 students. The university has an alumni network of around 170,000 graduates worldwide.","There is a subtle balance between improvements in business operations by using big data analytics and increased risk if (inadvertently) overstepping certain legal or social boundaries. This course addresses the pros and cons of using data analytics in business and social, ethical and security issues associated with it. Several real-world cases will be discusses and analyzed in the course.",,,2022
8014409002470,Consumer Behavior,MKT 358,18014,Upper Iowa University,United States,Iowa,Fayette,42.83971405029297,-91.79795837402344,"Upper Iowa University (UIU) is a private university in Fayette, Iowa.  It enrolls around 6000 students and offers distance education programs that include 15 centers in the U.S., an online program, an independent study program, and centers in Hong Kong, Singapore and Malaysia.  UIU has a total student enrollment of more than 6,000 students.
Upper Iowa offers undergraduate and graduate degree programs with 29 undergraduate majors, including art, business, conservation management, education, human services, information technology, liberal arts, math, nursing, psychology, science, and  6 graduate programs. It operates on two eight-week terms per semester, allowing students to take two classes per term. It is accredited by the Higher Learning Commission.
UIU is the only NCAA Division II Athletics Program in the state of Iowa and a member of the Northern Sun Intercollegiate Conference (NSIC).","This course provides a survey of research findings on consumer behavior drawn from marketing, economics, sociology, psychology, and anthropology. Emphasis is placed on applications of research to consumer satisfaction and on developing an understanding of the consumer decision-making process.","[""An overview of consumer behavior and terminology's used To encourage and develop analytical thinking To increase thinking, management, and evaluation of marketing materials via analysis of consumer behavior"", 'A perspective of marketing and consumer behavior from real life work experience along with in class exchanges of ideas and evaluations']",,2022
15728170259237,General Organic Chemistry I,CHM-235,20492,Chandler–Gilbert Community College,United States,Arizona,Chandler,33.29513168334961,-111.79712677001953,"public community college in Chandler, Arizona, United States",Rigorous introduction to chemistry of carbon-containing compounds. Reaction mechanisms and recent methods of synthesis emphasized.,"['Describe the bonding properties of the element carbon.', ""Describe the relationship between a compound's structure and its physical properties."", ""Describe the relationship between a compound's structure and its chemical properties."", 'Define acids and bases in terms of Bronsted-Lowry and Lewis acid-base theory.', 'Define bond dissociation energy, activation energy, and enthalpy of reaction in terms of transition state theory.', 'Outline the reaction mechanisms for nucleophilic substitution, elimination, electrophilic addition, and free radical reactions as applied to alkanes, organic halogen compounds, alkenes, alkynes, and conjugated dienes.', 'Compare stabilities of confirmations of cyclic and acyclic compounds.', 'Name and draw structures of appropriate examples of organic compounds.', 'Outline stepwise syntheses of organic compounds from simpler starting compounds.', 'Interpret infrared and nuclear magnetic resonance spectra.', 'Describe methods of separating stereoisomers from each other.', 'Use accepted nomenclature conventions to define the structures of stereoisomers.']",,2022
16097537445411,Physical Geology,GEOL-1403,20047,Tyler Junior College,United States,Texas,Tyler,32.3337516784668,-95.28337860107422,"Tyler Junior College (TJC) is a public community college in Tyler, Texas. It is one of the largest community colleges in the state, with an enrollment of more than 12,000 credit students and an additional 20,000 continuing education enrollments annually. Its West campus includes continuing education and workforce training programs and TJC North in Lindale, Texas offers general education classes, nursing programs, and the veterinary technician associate of applied science. The college also operates locations in Jacksonville and Rusk. TJC offers Associate of Science, Associate of Applied Science and Associate of Arts, specialized  baccalaureate degrees, and certificate programs.",Introduction to the study of the materials and processes that have modified and shaped the surface and interior of Earth over time. These processes aredescribed by theories based on experimental data and geologic data gathered from field observations.,"['Describe how the scientific method has led to our current understanding of Earthâ\x80\x99s structure and processes.', 'Interpret the origin and distribution of minerals, rocks and geologic resources.', 'Describe the theory of plate tectonics and its relationship to the formation and distribution of Earthâ\x80\x99s crustal features.', 'Quantify the rates of physical and chemical processes acting on Earth and how these processes fit into the context of geologic time.', 'Communicate how surface processes are driven by interactions among Earthâ\x80\x99s systems (e.g., the geosphere, hydrosphere, biosphere, and atmosphere).', 'Identify and describe the internal structure and dynamics of Earth.', 'Describe the interaction of humans with Earth (e.g., resource development or hazard assessment).', 'Classify rocks and minerals based on chemical composition, physical properties, and origin.', 'Apply knowledge of topographic maps to quantify geometrical aspects of topography.', 'Identify landforms on maps, diagrams, and/or photographs and explain the processes that created them.', 'Differentiate the types of plate boundaries and their associated features on maps and profiles and explain the processes that occur at each type of boundary.', 'Identify basic structural features on maps, block diagrams and cross sections and infer how they were created.', 'Demonstrate the collection, analysis, and reporting of data.', 'Gather and assess information on a geological area of interest or problem relevant to a question in physical geology.', 'Analyze, evaluate, and synthesize information about physical geology.', 'Develop, interpret, and express ideas about physical geology through visual communication.', 'Manipulate and analyze observable geological information in physical geology and arrive at an informed conclusion.', 'Integrate different viewpoints as a member of a team.', 'Work with others to support and accomplish a shared goal.', 'Analyze, evaluate, and synthesize information relevant to a question', 'Develop, interpret, and express ideas through written, oral, and visual communication', 'Manipulate and analyze numerical data or observable facts to arrive at an informed conclusion', 'Consider different points of view and work effectively with others to support a shared purpose or goal']",,2022
15350213134595,Writing Competency through Genres,ENGL 100A,17371,San Jose State University,United States,California,San Jose,37.33938980102539,-121.89495849609375,"San José State University (San Jose State or SJSU) is a public university in San Jose, California. Established in 1857, SJSU is the oldest public university on the West Coast and the founding campus of the California State University (CSU) system.Located in downtown San Jose, the SJSU main campus is situated on 154 acres (62 ha), or roughly 19 square blocks. As of spring 2023, SJSU offers 150 bachelor's degree programs, 95 master's degrees, five doctoral degrees, 11 different credential programs and 42 certificates. SJSU is accredited by the WASC Senior College and University Commission.SJSU's total enrollment was 35,751 in fall 2022, including nearly 8,900 graduate and credential students. SJSU's student population is one of the most ethnically diverse in the nation. As of fall 2022, graduate student enrollment, Asian, and international student enrollments at SJSU were the highest of any campus in the CSU system.SJSU is consistently listed among the leading suppliers of undergraduate and graduate alumni to Silicon Valley technology firms, and philanthropic support of SJSU is among the highest in the CSU system.SJSU sports teams are known as the Spartans, and compete in the NCAA Division I FBS Mountain West Conference.","Prepares students for 100W through drafting, feedback, and revision to demonstrate writing competency. Develops ability to analyze written genres used in the students’ chosen disciplines and to write analytical and reflective essays.","['Use correct and situationally appropriate sentence structure and grammar', 'Utilize feedback from instructor and peers to improve the accuracy and clarity of writing', 'Recognize, select, and use basic activities of the writing process, including prewriting, organizing, drafting, revising, editing, and peer review', 'Critically self-reflect about the writing process and about making context-appropriate rhetorical choices', 'Critically read, interpret, and synthesize multiple texts', 'Write well organized, well developed essays with a clear thesis', 'Identify how types of written texts in a variety of fields (genres) are influenced by audience, situation, and purpose', 'Employ research strategies to collect, analyze, and evaluate data from primary and secondary sources.']",,2022
274877917243,ADMINISTRATIVE LAW,PAD 6605,20884,Florida Gulf Coast University,United States,Florida,Fort Myers,26.465444564819336,-81.77373504638672,"Florida Gulf Coast University (FGCU) is a public university in Lee County, Florida near Fort Myers. It is part of the State University System of Florida and is its second youngest member. The university was established on May 3, 1991, and is accredited by the Southern Association of Colleges and Schools (SACS). It offers 58 bachelor's degree programs, 25 master's degree programs, 6 doctoral degree programs, and 12 graduate certificates.FGCU's intercollegiate athletic teams, the Eagles, compete in the ASUN Conference in NCAA Division I sports.","Administrative law affects every aspect of American life, setting the boundaries within which government agencies are allowed to act. In this course, we will examine these boundaries and the court cases that have clarified legal responsibilities for administrative agencies. We will focus our attention on the procedures used to implement and challenge agency policies, including rule-making, administrative hearings, and judicial review.","['Examine how law affects agencies’ policymaking power', 'Analyze landmark court decisions in administrative law']",,2022
14001593392419,Criminal Justice Research and Writing,CJUS-230,20123,Liberty University,United States,Virginia,Lynchburg,37.352420806884766,-79.18018341064453,"Liberty University (LU) is a private Baptist university in Lynchburg, Virginia. It is affiliated with the Southern Baptist Conservatives of Virginia (Southern Baptist Convention). Founded in 1971 by Jerry Falwell Sr. and Elmer L. Towns, Liberty is among the world's largest Christian universities and the largest private non-profit universities in the United States by total student enrollment. Most of its enrollment is in online courses; in 2020, for example, the university enrolled about 15,000 in its residential program and 80,000 online.Liberty University consists of 17 colleges, including a school of osteopathic medicine, a school of law, and a seminary.  Liberty's athletic teams compete in Division I of the NCAA and are collectively known as the Liberty Flames. Their college football team is an NCAA Division I FBS Independent, while most of their other sports teams compete in the ASUN Conference. Their athletics program will join Conference USA as a full member in 2023.Liberty, whose website and officials speak of ""training Champions for Christ"", requires undergraduate students to take three Evangelical Bible-studies classes. The university's honor code, called the ""Liberty Way"", prohibits premarital sex, cohabitation, and alcohol use.Described as a ""bastion of the Christian right"", the university played a prominent role in Republican politics under Falwell and his son and successor Jerry Falwell Jr.; in 2021, Liberty President Jerry Prevo said getting conservative candidates elected to office was ""one of our main goals"".","This course is an introductory course to research in the social sciences, both in traditional and online venues. It covers plagiarism, APA formatting, case briefing, academic writing, formal reporting, and memoranda. A major research paper is required.","['Research a topic in criminal justice thoroughly by utilizing resources found in the Jerry Falwell Library and online.', 'Prepare a research paper in proper current APA formatting.', 'Write clearly, concisely, and persuasively.', 'Prepare a formal police report and a case brief.', 'Articulate basic Christian concepts regarding communication, integrity in writing, and plagiarism.']",,2022
7181185329132,Computer literacy,INF0203,296,Vytautas Magnus University,Lithuania,,Kaunas,54.89833450317383,23.913888931274414,"Vytautas Magnus University (VMU) (Lithuanian: Vytauto Didžiojo universitetas, VDU) is a public university in Kaunas, Lithuania. The university was founded in 1922 during the interwar period as an alternate national university.Initially it was known as the University of Lithuania, but in 1930 the university was renamed to Vytautas Magnus University, commemorating the 500th anniversary of the death of the Lithuanian ruler Vytautas the Great, who is known for the nation's greatest historical expansion in the 15th century.
It is one of the leading universities of Lithuania, and has about 8,800 students, including Master's students and Ph.D. candidates. There are a little over 1000 employees, including approximately 90 professors.","Course introduces main concepts of computer science and information technologies. Students get understanding about computer hardware components and software, data communications, computer networks and internet. Information technologies in perspective are presented.","['To formalize and specify real-world problems, to describe them abstractly, to think about ones formally.', 'To define the concept of computer science; to understand the advantages of modern information technologies and to know their development trends.', 'Describe computer structure of a computer.', 'Use computer hardware in daily activities.', 'Clearly and convincingly present problems and proposed solutions to experts and non-professionals, based on relevant knowledge, using appropriate presentation tools, media and methods.', 'Classify software by types and their functionality', 'Understand the structure of algorithms and programs.', 'Use computer software in daily activities.']",The concept of computer science. Computer evolution and generations. Computer system structure. Computer input system devices. Data storage devices. Computer Data Processing units. Computer output system devices. Software classification. Software development process. Programming languages. Operating systems. OS Windows 10. Text editors. MS Word. Electronic spreadsheets MS Excel. Database software. MS Access. Presentation Software. MS Power Point. Computer networks. Internet.,2022
