Research ID,Description,Learning Outcomes,Raw Skill,Level,Knowledge Required,Task Abilities,Skill Tag,Correlation Coefficient
7919919697462.0,"This course is aTopics covered include: vector analysis, electrostatic and magnetostatics fields, Maxwell’s equations and electromagnetic wave propagation and applications.","['Students will also learn and exercise mathematical vector analysis skills.', 'Understand and implement vector analysis including vector algebra, coordinate systems and transformation, and vector calculus to electromagnetics problems.', 'Understand electrostatic fields, electric fields in materials space, and analyze electrostatic boundary-value problems, and electrostatics applications.']",Data Analysis,3.0,"['statistical methods', 'research design', 'data visualization']","['data interpretation', 'trend identification', 'report generation.']",ESCO.3226,0.907012446604044
7919919697462.0,"This course is aTopics covered include: vector analysis, electrostatic and magnetostatics fields, Maxwell’s equations and electromagnetic wave propagation and applications.","['Students will also learn and exercise mathematical vector analysis skills.', 'Understand and implement vector analysis including vector algebra, coordinate systems and transformation, and vector calculus to electromagnetics problems.', 'Understand electrostatic fields, electric fields in materials space, and analyze electrostatic boundary-value problems, and electrostatics applications.']",Data Analysis,3.0,"['statistical methods', 'research design', 'data visualization']","['data interpretation', 'trend identification', 'report generation.']",ESCO.3637,0.9254210007226864
7919919697462.0,"This course is aTopics covered include: vector analysis, electrostatic and magnetostatics fields, Maxwell’s equations and electromagnetic wave propagation and applications.","['Students will also learn and exercise mathematical vector analysis skills.', 'Understand and implement vector analysis including vector algebra, coordinate systems and transformation, and vector calculus to electromagnetics problems.', 'Understand electrostatic fields, electric fields in materials space, and analyze electrostatic boundary-value problems, and electrostatics applications.']",Data Analysis,3.0,"['statistical methods', 'research design', 'data visualization']","['data interpretation', 'trend identification', 'report generation.']",ESCO.12451,0.878006624592814
1623497646274.0,"The diversity and classification of life will be studied, including animals, plants, protists, fungi, and prokaryotes. Special emphasis will be given to anatomy, physiology, ecology, and evolution of plants and animals.Lab: Laboratory activities will reinforce study of the diversity and classifications of life, including animals, plants, protists, fungi, and prokaryotes. Special emphasis will be given to anatomy, physiology, ecology, and evolution of plants and animals. Lab required.","['Describe modern evolutionary synthesis, natural selection, population genetics, micro and macroevolution, and speciation.', 'Describe phylogenetic relationships and classification schemes.', 'Identify the major phyla of life with an emphasis on plants and animals, including the basis for classification, structural and physiological adaptations, evolutionary history, and ecological significance.', 'Describe basic animal physiology and homeostasis as maintained by organ systems.', 'Compare different sexual and asexual life cycles noting their adaptive advantages.', 'Illustrate the relationship between major geologic change, extinctions, and evolutionary trends.', 'Apply scientific reasoning to investigate questions, and utilize scientific tools such as microscopes and laboratory equipment to collect and analyze data.', 'Use critical thinking and scientific problem-solving to make informed decisions in the laboratory.', 'Communicate effectively the results of scientific investigations.', 'Demonstrate knowledge of modern evolutionary synthesis, natural selection, population genetics, micro and macroevolution, and speciation.', 'Distinguish between phylogenetic relationships and classification schemes.', 'Identify the major phyla of life with an emphasis on plants and animals, including the basis for classification, structural and physiological adaptations, evolutionary history, and ecological significance.', 'Describe basic animal physiology and homeostasis as maintained by organ systems.', 'Compare different sexual and asexual life cycles noting their adaptive advantages.', 'Illustrate the relationship between major geologic change, extinctions, and evolutionary trends.']",Technology Integration,2.0,"['educational technology', 'digital tools']","['utilize technology', 'enhance learning', '']",ESCO.7435,0.8755921491969962
11836929887697.0,"A study of rendering techniques for formal interior design presentation, using a variety of media. Lab required.","['Develop rendered drawings using a variety of materials.', 'Visually communicate color, textures, and patterns of interior elements.']",Communication,3.0,"['written communication', 'oral presentation']","['explain concepts clearly', 'present information effectively.']",ESCO.1170,0.8632117258438406
1537598316715.0,"This course is a health-related work-based learning experience that enables the student to apply specialized occupational theory, skills, and concepts. Direct supervision is provided by the clinical professional.","['Function within the nurse’s legal scope of practice and in accordance with regulation and the policies and procedures of the employing health care institution or practice setting.', 'Assume responsibility and accountability for the quality of nursing care provided to patients and their families.', 'Contribute to activities that promote the development and practice of vocational nursing.', 'Demonstrate responsibility for continued competence in nursing practice, and develop insight through reflection, self-analysis, self-care, and lifelong learning.', 'Use clinical reasoning and knowledge based on the vocational nursing program study and established evidence-based practice as the policies as the basis for decision making in nursing practice.', 'Assist in determining the physical and mental health status, needs, and preferences by culture, spirituality, ethnicity, identity, and social diversity of patients and their families, and in interpreting health-related data based on knowledge derived from the vocational nursing program of study.', 'Report data to assist in the identification of problems and formulation of goals/outcomes and patient-centered plans of care in collaboration with patients, their families, and the interdisciplinary health care team.', 'Provide safe, compassionate, basic nursing care to assigned patients with predictable health care needs through a supervised, directed scope of practice.', 'Implement aspects of the plan of care within legal, ethical, and regulatory parameters and in consideration of patient factors.', 'Identify and report alterations in patient responses to therapeutic interventions in comparison to expected outcomes.', 'Implement teaching plans for patients and their families with common health problems and well-defined health learning needs.', 'Assist in the coordination of human, information, and physical resources in providing care for assigned patients and their families.', 'Demonstrate knowledge of the Texas Nursing Practice Act and the Texas Board of Nursing Rules that emphasize safety, as well as all federal, state, and local government and accreditation organization safety requirements and standards.', 'Implement measures to promote quality and a safe environment for patients, self, and others.', 'Assist in the formulation of goals and outcomes to reduce patient risks.', 'Obtain instruction, supervision, or training as needed when implementing nursing procedures or practices.', 'Comply with mandatory reporting requirements of the Texas Nursing Practice Act.', 'Accept and make assignments that take into consideration patient safety and organizational policy.', 'Communicate and collaborate in a timely manner with patients, their families, and the interdisciplinary health care team to assist in the planning, delivery, and coordination of patient-centered care to assigned patients.', 'Participate as an advocate in activities that focus on improving the health care of patients and their families.', 'Participate in the identification of patient needs for referral to resources that facilitate continuity of care, and ensure confidentiality.', 'Communicate patient data using technology to support decision-making to improve patient care.', 'Assign nursing activities to LVNs or unlicensed personnel based upon an analysis of patient or work place need.', 'Supervise nursing care by others whom the nurse is responsible.', 'Assist health care teams during local or global health emergencies or pandemics to promote health and safety, and prevent disease.', 'Apply the theory, concepts and skills involving specialized nursing procedures.', 'Demonstrate legal and ethical behavior, safety practices, interpersonal and teamwork skills, and appropriate written and verbal communication skills using medical terminology.']",Customer Segmentation,4.0,"['marketing analytics', 'target audience', 'data analysis']","['campaign design', 'insights generation', 'solution development.']",ESCO.1032,0.8943115425543001
3994319593959.0,This course will provide an overview of early modern through contemporary musical theatre including a brief history of pop/rock. This course will also explore the differences between performing contemporary musical theatre and commercial songs for the theatrical stage or audition versus the club venue or recording studio as well as how to choose appropriate song material for auditions and understanding the dramatic expectations and style tags associated with the different points in music history.,"['To understand the basic overview of contemporary musical theatre history.', 'To identify various music/vocal styles.', 'To learn how to choose appropriate audition material for contemporary Broadway musicals.']",Data Analysis,3.0,"['data manipulation', 'statistical concepts', 'problem-solving']","['data interpretation', 'insights generation', 'problem identification.']",ESCO.3226,0.907012446604044
3994319593959.0,This course will provide an overview of early modern through contemporary musical theatre including a brief history of pop/rock. This course will also explore the differences between performing contemporary musical theatre and commercial songs for the theatrical stage or audition versus the club venue or recording studio as well as how to choose appropriate song material for auditions and understanding the dramatic expectations and style tags associated with the different points in music history.,"['To understand the basic overview of contemporary musical theatre history.', 'To identify various music/vocal styles.', 'To learn how to choose appropriate audition material for contemporary Broadway musicals.']",Data Analysis,3.0,"['data manipulation', 'statistical concepts', 'problem-solving']","['data interpretation', 'insights generation', 'problem identification.']",ESCO.3637,0.9254210007226864
3994319593959.0,This course will provide an overview of early modern through contemporary musical theatre including a brief history of pop/rock. This course will also explore the differences between performing contemporary musical theatre and commercial songs for the theatrical stage or audition versus the club venue or recording studio as well as how to choose appropriate song material for auditions and understanding the dramatic expectations and style tags associated with the different points in music history.,"['To understand the basic overview of contemporary musical theatre history.', 'To identify various music/vocal styles.', 'To learn how to choose appropriate audition material for contemporary Broadway musicals.']",Data Analysis,3.0,"['data manipulation', 'statistical concepts', 'problem-solving']","['data interpretation', 'insights generation', 'problem identification.']",ESCO.12451,0.878006624592814
4964982209932.0,"Spanish for health care is a course designed to help upper division Spanish students who are pursuing degrees in healthcare. This course is designed for students with a high level of Spanish who need both linguistic and translation-related specific knowledge in order to help people from two different cultures. It provides students with an extensive focus on Basic techniques of translating written texts from Spanish to English and from English to Spanish with emphasis on medical vocabulary, grammar structures and Hispanic cultures.","['Approach texts with critical thinking, whether in translation or in the original.', 'Use Spanish vocabulary that relates specifically to the medical field.', 'Better understand how Spanish and English work grammatically and syntactically.', 'Apply grammatical structures to properly interact with Spanish speaking patients', 'Comprehend main ideas and identify supporting details in written medical Spanish.', 'Understand spoken medical Spanish in different conversations and situations']",Communication,3.0,"['written expression', 'scientific language', 'presentation skills']","['report writing', 'scientific discussion', 'public speaking.']",ESCO.1170,0.8632117258438406
